Título;Gênero;Categoria de Gênero;Pré estreia;Temporadas;Quantidade de temporadas;quantidade de episodios;Duração;Duração mínima;Duração máxima;Status;Ativa;Catálogo;Idioma;dt_inclusao;Data de Alteracao
Spy Kids: Mission Critical;childrens-animation;childrens-animation;2023-04-27;2 seasons, 20 episodes;2;20;23–25 min.;23;23;Pending;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Trailer Park Boys: The Animated Series;Mockumentary;mockumentary;2023-04-27;1 season, 10 episodes;1;10;24–25 min.;24;25;Pending;1;Animation;English;2021-03-16;2023-04-27T17:33:17.694Z
The Last Czars;Docu-series;docu-series;2023-04-27;a ser anunciado;0;0;TBA;0;0;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Lady Dynamite;Comedy;comedy;2023-04-27;2 seasons, 20 episodes;2;20;26–36 min.;26;36;Ended;0;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Yankee;Drama;drama;2023-04-27;1 season, 25 episodes;1;25;36–44 min.;36;44;Pending;1;ForeignLanguage;Spanish;2021-03-16;2023-04-27T17:33:17.694Z
The Disappearance of Madeleine McCann;True crime;true,crime;2023-04-27;8 episodes;0;8;43–65 min.;43;65;Miniseries;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Ask the StoryBots;childrens-animation;childrens-animation;2023-04-27;2 seasons, 14 episodes;2;14;20–28 min.;20;28;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
72 Dangerous Animals: Latin America;Nature;nature;2023-04-27;1 season, 12 episodes;1;12;41–46 min.;41;46;Ended;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Voltron: Legendary Defender;childrens-animation;childrens-animation;2023-04-27;8 seasons, 78 episodes;8;78;23–68 min.;23;68;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Justin Time GO!;childrens-animation;childrens-animation;2023-04-27;1 season, 13 episodes;1;13;22 min.;22;22;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
